background_id,matched_positive_event_id,state,latitude,longitude,event_date,landslide,sample_type,is_confirmed_stable,min_distance_to_known_event_km,min_distance_to_other_background_km,random_seed
BG_0001,1048547,Assam,26.731604759333273,94.35249548602104,2004-07-15,0,matched_background_pseudo_absence,False,53.743330617301666,inf,42
BG_0002,1048389,Assam,26.074443020648907,91.08021471117131,2004-07-15,0,matched_background_pseudo_absence,False,24.394836023409596,333.98652763360974,42
BG_0003,1048386,Assam,26.226269176389273,93.80533817323608,2004-07-15,0,matched_background_pseudo_absence,False,67.9575578142348,78.25048644882905,42
BG_0004,1050630,Assam,26.39626717226049,91.09160596119045,2004-07-15,0,matched_background_pseudo_absence,False,17.26418339390434,35.80329417409514,42
BG_0005,1050635,Mizoram,23.74242823900069,93.20722763379439,2004-07-29,0,matched_background_pseudo_absence,False,19.511309279129854,282.69162796096305,42
BG_0006,938324,Sikkim,27.180949665961986,88.09756023583462,2004-09-02,0,matched_background_pseudo_absence,False,7.437024352098,309.7253866142878,42
BG_0007,1048548,Assam,26.935001186721536,94.79899006875554,2004-10-07,0,matched_background_pseudo_absence,False,70.93322277039965,49.74116181351471,42
BG_0008,1048377,Assam,26.253496769829923,92.09062865100057,2004-10-08,0,matched_background_pseudo_absence,False,16.808012268175847,100.82346937192702,42
BG_0009,1050658,Mizoram,23.537003359726715,93.2350407982325,2005-08-01,0,matched_background_pseudo_absence,False,13.998249516480692,23.017266308326093,42
BG_0010,1048549,Assam,26.47245725899581,93.79365367986004,2005-08-19,0,matched_background_pseudo_absence,False,51.79722717029468,27.399650913416636,42
BG_0011,1048378,Assam,26.761960498293778,93.218067234653,2005-08-24,0,matched_background_pseudo_absence,False,23.37243395732154,65.65305001621645,42
BG_0012,1048550,Assam,27.11245476550876,95.02473417732853,2005-08-24,0,matched_background_pseudo_absence,False,88.3046021602209,29.822204015749794,42
BG_0013,1048387,Assam,25.14393922691182,93.2459878330718,2005-08-24,0,matched_background_pseudo_absence,False,9.327273038904481,132.76163497798174,42
BG_0014,938387,Sikkim,28.021683724068893,88.54350132683378,2005-09-25,0,matched_background_pseudo_absence,False,20.4061061221899,103.29798520925344,42
BG_0015,1050584,Assam,26.542701486541002,90.39149472707574,2006-06-12,0,matched_background_pseudo_absence,False,60.983633095679515,71.56502613228862,42
BG_0016,1049243,Tripura,23.545370924681713,91.22479232546311,2006-06-13,0,matched_background_pseudo_absence,False,40.782747794897894,203.11620701755083,42
BG_0017,938444,Sikkim,27.752116743204116,88.255394309017,2006-08-03,0,matched_background_pseudo_absence,False,26.681126306069114,41.23413997299801,42
BG_0018,938422,Sikkim,27.535720472511255,88.11461153892144,2007-04-11,0,matched_background_pseudo_absence,False,21.773973178074115,27.77216702581084,42
BG_0019,938415,Sikkim,27.993028774543326,88.84092995487359,2007-05-23,0,matched_background_pseudo_absence,False,32.84859557260094,29.372703621577557,42
BG_0020,938390,Sikkim,27.75000489883242,88.28406313501387,2007-06-27,0,matched_background_pseudo_absence,False,23.85398171716486,2.830921105686528,42
BG_0021,1048380,Assam,27.325950841439408,95.25140284947352,2007-07-13,0,matched_background_pseudo_absence,False,111.63868082870134,32.64862045538134,42
BG_0022,938328,Sikkim,27.14023960879499,88.29228610888872,2007-07-16,0,matched_background_pseudo_absence,False,6.423661640069302,19.789630182848477,42
BG_0023,1048446,Assam,27.76810283106171,95.246901833597,2007-07-19,0,matched_background_pseudo_absence,False,126.34177993176338,49.16712848985025,42
BG_0024,1048441,Assam,26.00017250564627,90.23986174804719,2007-07-19,0,matched_background_pseudo_absence,False,23.991633317495136,62.192293987592535,42
BG_0025,1050662,Mizoram,23.903587051308193,92.33858205591375,2007-07-30,0,matched_background_pseudo_absence,False,23.788374464442445,90.1581658664478,42
BG_0026,1050668,Mizoram,22.272434202605208,93.1600754185129,2007-07-30,0,matched_background_pseudo_absence,False,30.35957408126998,140.82335145872935,42
BG_0027,938236,Sikkim,27.656449304426417,88.44439804631892,2007-08-02,0,matched_background_pseudo_absence,False,8.471712835743299,18.904454889812246,42
BG_0028,1050913,Manipur,24.22660019214865,93.72121956543329,2007-08-26,0,matched_background_pseudo_absence,False,16.199583762158912,75.00148037125686,42
BG_0029,1050834,Manipur,25.18976344237939,93.92730406982781,2007-08-26,0,matched_background_pseudo_absence,False,6.765743753439099,68.7564464125203,42
BG_0030,1050634,Assam,26.12131288752809,92.4670349958996,2007-08-26,0,matched_background_pseudo_absence,False,44.6772884358917,40.331969289609084,42
BG_0031,1057207,Manipur,24.242250702641172,93.37876324564381,2007-08-31,0,matched_background_pseudo_absence,False,10.497437826895139,34.76722692506906,42
BG_0032,938381,Sikkim,27.781518561963356,88.22926331893291,2007-09-07,0,matched_background_pseudo_absence,False,29.533481746849045,4.159194320265961,42
BG_0033,1057438,Manipur,24.894404722836555,94.63026311699993,2007-09-08,0,matched_background_pseudo_absence,False,15.678827830759891,78.06251646956932,42
BG_0034,938319,Sikkim,27.9028805400544,88.44203038871244,2007-09-09,0,matched_background_pseudo_absence,False,13.29483640905754,16.547832948058026,42
BG_0035,1057853,Manipur,24.634172119605473,93.14247210166457,2007-09-09,0,matched_background_pseudo_absence,False,19.49928169715965,49.71294185798568,42
BG_0036,1057817,Manipur,24.70104365347782,93.72200141243641,2007-09-10,0,matched_background_pseudo_absence,False,10.550816315281882,52.75583809675322,42
BG_0037,938445,Sikkim,27.786122326967984,88.67450723572448,2007-09-10,0,matched_background_pseudo_absence,False,5.323528249255378,26.287111164933204,42
BG_0038,938423,Sikkim,27.43553567001521,88.37851776259298,2007-09-10,0,matched_background_pseudo_absence,False,8.822761023807676,25.408695817046397,42
BG_0039,1057807,Manipur,24.666819006442722,93.30796346022855,2007-09-11,0,matched_background_pseudo_absence,False,14.742368687140955,17.11428016561733,42
BG_0040,938382,Sikkim,27.371772779455053,88.39598072285604,2007-09-11,0,matched_background_pseudo_absence,False,9.541827984375946,7.29668582557954,42
BG_0041,1048449,Assam,24.9560298280019,92.76745533281624,2007-09-13,0,matched_background_pseudo_absence,False,7.534491701136529,52.095193350349795,42
BG_0042,1048551,Assam,25.758611933116015,92.57388146032218,2007-09-15,0,matched_background_pseudo_absence,False,20.61389896349565,41.72167414847433,42
BG_0043,1050607,Assam,27.954013772670336,95.74806352094106,2007-09-16,0,matched_background_pseudo_absence,False,179.63071113178972,53.42830608362367,42
BG_0044,938298,Sikkim,27.390833895835065,88.15382055281145,2007-09-18,0,matched_background_pseudo_absence,False,5.251515634132131,16.56862367769993,42
BG_0045,1050582,Mizoram,24.141257961166637,92.84995073650757,2007-09-29,0,matched_background_pseudo_absence,False,13.740328865420908,54.80029688720676,42
BG_0046,1057849,Manipur,24.178318223739403,93.11263168803113,2007-10-19,0,matched_background_pseudo_absence,False,10.234547323835566,26.967077838409686,42
BG_0047,1050772,Manipur,24.91788128317036,93.71427718730607,2007-10-21,0,matched_background_pseudo_absence,False,11.082840510024987,24.123878745901607,42
BG_0048,1048552,Assam,27.508530678807443,95.26494039985563,2008-04-13,0,matched_background_pseudo_absence,False,117.44200975320535,20.345905750335508,42
BG_0049,1057337,Manipur,24.12612346150217,93.62610470789711,2008-06-09,0,matched_background_pseudo_absence,False,28.506897280812566,14.762165193851603,42
BG_0050,1057861,Assam,26.258034003400244,90.37498174857276,2008-06-14,0,matched_background_pseudo_absence,False,38.75825028455103,31.68746350174696,42
BG_0051,1057827,Assam,26.455960814747606,91.41961929987178,2008-06-15,0,matched_background_pseudo_absence,False,21.71310797596235,33.32993706823723,42
BG_0052,1054158,Manipur,24.21135545586331,94.24366745204111,2008-06-19,0,matched_background_pseudo_absence,False,14.47585091915054,53.00756252223517,42
BG_0053,1048553,Assam,27.437317552858698,94.72944138778692,2008-06-19,0,matched_background_pseudo_absence,False,64.63729599364194,46.43929884133159,42
